Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level,major_Arts,major_Business,major_Humanities,major_Medical,major_STEM,use_Copywriting_Drafting,use_Debugging_Troubleshooting,use_Direct_Answer_Generation,use_Ideation,use_Summarizing_Reading,policy_Actively_Encouraged,policy_Allowed_With_Citation,policy_Strict_Ban
3,-1.520524167501943,0.58275,0,0.0,1,-0.5971775316026112,0.4444444444444445,0.5555555555555556,-1.9293159959330417,0.8012558995237563,2,0,0,1,0,0,1,0,0,0,0,0,1,0
2,1.40941478449377,0.028000000000000004,2,1.0,0,1.055146206468591,0.2222222222222222,0.8888888888888888,0.699461863935109,-0.4824852726738164,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0,0.5260475879904294,0.5315000000000001,0,0.25,0,-0.16664247309110092,0.4444444444444445,0.8888888888888888,0.3020180892658644,-0.14065624500361176,1,0,1,0,0,0,0,0,0,0,1,0,0,1
3,1.3425879516613657,0.045500000000000006,1,0.75,0,0.7797589167900575,0.1111111111111111,0.1111111111111111,1.312776115201354,-0.9199360768068311,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1,1.0209838186554208,0.23224999999999998,2,0.75,0,0.2600138911995854,0.3333333333333333,0.3333333333333333,0.9052449350836516,1.8222254182920314,1,0,0,0,0,1,0,1,0,0,0,0,1,0
2,0.6325528528170726,0.1625,0,0.0,0,0.5780668173071876,0.3333333333333333,0.4444444444444445,0.6389374312443605,-0.7437510713556684,2,0,0,0,0,1,0,1,0,0,0,0,1,0
0,0.9938354178172569,0.78525,2,1.0,1,0.3686173293826689,0.7777777777777777,0.6666666666666665,1.312776115201354,-0.5894009597424706,1,0,0,0,0,1,0,0,0,0,1,0,1,0
2,-0.8355491309698023,0.13325,1,0.5,0,1.4042286863427889,0.1111111111111111,0.0,-0.7753168126294485,0.699610704071163,1,1,0,0,0,0,1,0,0,0,0,1,0,0
1,0.5719910355627067,0.05,0,0.25,1,-1.6172741116794338,0.0,0.4444444444444445,0.09421753702762956,-1.5124899199267663,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1,-0.20904757316601522,0.49974999999999997,1,0.25,1,0.24837780853711205,0.2222222222222222,0.7777777777777777,-0.7490895584634572,0.8569725251792528,2,0,1,0,0,0,0,1,0,0,0,0,0,1
4,0.5448426347245429,0.129,2,0.5,0,0.04280701483341774,0.4444444444444445,0.2222222222222222,0.5400808578494725,1.4773846811269358,2,0,0,0,0,1,0,0,0,0,1,0,1,0
2,-1.0840614155653052,0.09050000000000001,1,0.5,0,-0.6126923084859089,0.2222222222222222,0.2222222222222222,-1.3119667824874133,-0.25510120580949586,1,0,0,0,1,0,0,0,1,0,0,1,0,0
3,0.695203008597452,0.0715,0,0.25,0,-0.4381510685488103,0.1111111111111111,0.3333333333333333,0.5299934524010147,-0.6112358535804346,2,1,0,0,0,0,1,0,0,0,0,1,0,0
2,0.1647650229902452,0.22375,0,0.0,0,2.7326814569751527,0.1111111111111111,0.2222222222222222,1.1816398443714002,-0.8529255405454915,1,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0.11673323689195456,0.0305,0,0.0,0,1.0299346940332323,0.1111111111111111,0.3333333333333333,-0.4585722815478679,-0.38385178671611414,0,0,0,0,0,1,1,0,0,0,0,0,1,0
3,-2.234735943398261,0.36850000000000005,0,0.0,1,0.2677712796412341,0.3333333333333333,0.3333333333333333,-2.2622003757321543,-0.3868634962110063,1,0,0,0,0,1,0,1,0,0,0,0,1,0
1,-0.4492065036574666,0.052000000000000005,2,0.5,0,0.7642441399067599,0.4444444444444445,0.7777777777777777,-0.27296402129624087,-1.2128248251850458,1,0,0,1,0,0,0,0,1,0,0,0,0,1
3,0.02066966469537418,0.20074999999999998,2,0.75,0,-0.09876532422667365,0.3333333333333333,0.4444444444444445,0.08211265048948041,1.1182383238611047,1,0,1,0,0,0,0,0,1,0,0,0,1,0
2,-0.35731960851291106,0.012750000000000001,0,0.0,0,-0.0716144646809026,0.0,0.1111111111111111,0.12649723446269512,-1.6450051377019994,1,0,0,1,0,0,0,0,0,0,1,0,1,0
1,0.3318321050712553,0.005000000000000001,1,0.75,0,-1.4582476486256326,0.0,0.3333333333333333,-0.3274360107179142,-0.11806842379192448,1,0,0,0,0,1,0,1,0,0,0,0,1,0
1,-1.0652663688311907,0.04075,1,0.75,0,1.4546517112135067,0.3333333333333333,0.2222222222222222,-1.1929353981956086,0.18686716256585653,0,0,1,0,0,0,1,0,0,0,0,0,0,1
3,0.7996199348980828,0.12275000000000001,0,0.0,0,0.8864230078627289,0.1111111111111111,0.5555555555555556,0.01755325561934927,-0.62027098206511,0,0,0,0,0,1,0,1,0,0,0,0,1,0
